Velocity: ('-0.9014006819157153', '0.1874425211197832', '0.0')
Position: ('2.532410029599956', '-0.13397510236296362', '0.9048809002566259')
Velocity: ('-0.827646939611671', '0.1627073330905643', '0.0')
Position: ('2.5083063529168927', '-0.13434630313902918', '0.8979461532439775')
Velocity: ('-0.7112038013949141', '0.08755888846274246', '0.0')
Position: ('2.4460017801299188', '-0.1574904715725754', '0.87209570227998')
Velocity: ('-0.6954180348115114', '-0.06947845077554277', '0.0')
Position: ('2.2665784632281047', '-0.1910537964750454', '0.9227594362767256')
Velocity: ('-0.913635062331849', '-0.21253891547566806', '0.0')
Position: ('2.1610561983481196', '-0.19584900752749335', '0.9530522648591655')
Velocity: ('-0.9390022968102962', '-0.13234963453429585', '0.0')
Position: ('2.036485770100787', '-0.1997650723316644', '0.9662793112462373')
Velocity: ('-0.9967352834905819', '-0.08957748307177621', '0.0')
Position: ('1.9071470951667449', '-0.20442951004048138', '0.977137565369263')
Velocity: ('-1.0537887533270767', '-0.07340992911571187', '0.0')
Position: ('1.7808380802778667', '-0.19291784829499803', '0.9956016317873384')
Velocity: ('-1.0872528766282397', '0.023872730571099676', '0.0')
Position: ('1.7726889738680995', '-0.1837186093043287', '1.0184963478670352')
Velocity: ('-0.8793114875428122', '0.09216941927402166', '0.0')
Position: ('1.7337093525657812', '-0.17247536320927903', '1.0292109145061925')
Velocity: ('-0.7785560245445052', '0.11909123211599063', '0.0')
Position: ('1.6554270788317544', '-0.16050097454883505', '1.0292109145061925')
Velocity: ('-0.7785560245445052', '0.11909123211599063', '0.0')
Position: ('1.6624778604963462', '-0.1498500446757408', '1.0532935857190717')
Velocity: ('-0.6620155751384202', '0.1441701799837501', '0.0')
Position: ('1.6721219577739133', '-0.15992756699606325', '1.09159882946794')
Velocity: ('-0.5208174834627887', '0.02843296774865453', '0.0')
Position: ('1.5955744826463194', '-0.1496871489200775', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.55542340403766', '-0.14511286386576072', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.494611483113394', '-0.13818475456838863', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.4543573431397645', '-0.13359872805960016', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
Position: ('1.4141129370830416', '-0.12901381050509542', '1.0373743337486225')
Velocity: ('-0.6003772841261202', '0.06839907999725062', '0.0')
